City_ID,City,Country,Date,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed
123,Kidal,ML,2021-12-19 01:38:11,18.4411,1.4078,63.18,20,0,12.39
124,Georgetown,MY,2021-12-19 01:28:33,5.4112,100.3354,76.95,90,40,0.0
125,Tautira,PF,2021-12-19 01:38:12,-17.7333,-149.15,82.42,74,83,10.94
126,Sayyan,YE,2021-12-19 01:38:13,15.1718,44.3244,48.51,38,10,1.19
127,Korla,CN,2021-12-19 01:38:13,41.7597,86.1469,19.31,65,7,3.29
128,Faanui,PF,2021-12-19 01:28:30,-16.4833,-151.75,80.15,73,6,8.81
129,Atbasar,KZ,2021-12-19 01:38:14,51.8,68.3333,23.07,92,100,6.58
130,Nantucket,US,2021-12-19 01:34:43,41.2835,-70.0995,44.71,93,90,6.91
131,San Benito,US,2021-12-19 01:38:14,36.6166,-121.0844,42.06,84,4,3.18
132,Cabudare,VE,2021-12-19 01:38:15,10.0289,-69.0894,71.4,91,43,5.64
133,Ketchikan,US,2021-12-19 01:35:19,55.3422,-131.6461,32.47,69,1,11.5
134,Tucurui,BR,2021-12-19 01:38:15,-3.7661,-49.6725,75.22,95,100,3.09
135,Mundra,IN,2021-12-19 01:38:16,22.85,69.7333,62.67,39,6,11.74
136,Dapaong,TG,2021-12-19 01:38:16,10.8639,0.205,71.96,19,6,8.9
137,Kirchbichl,AT,2021-12-19 01:38:16,47.5094,12.1042,29.64,89,5,3.53
138,Midwest City,US,2021-12-19 01:33:57,35.4495,-97.3967,34.56,55,1,4.0
139,High Level,CA,2021-12-19 01:38:17,58.5169,-117.136,-11.09,84,75,4.61
140,Hamilton,US,2021-12-19 01:30:18,39.1834,-84.5333,40.05,88,90,3.0
141,Berlevag,NO,2021-12-19 01:38:18,70.8578,29.0864,29.48,82,100,24.38
142,Faya,SA,2021-12-19 01:32:10,18.3851,42.4509,55.92,62,7,2.24
143,Port Elizabeth,ZA,2021-12-19 01:30:57,-33.918,25.5701,59.09,83,70,12.17
144,Gat,IL,2021-12-19 01:38:19,31.61,34.7642,56.39,29,5,10.4
145,Sitka,US,2021-12-19 01:32:06,57.0531,-135.33,30.09,80,20,5.75
146,Zhezkazgan,KZ,2021-12-19 01:38:20,47.8043,67.7144,19.38,86,75,4.47
147,Zhanakorgan,KZ,2021-12-19 01:38:20,43.9098,67.2495,41.2,35,100,15.82
148,Anamur,TR,2021-12-19 01:38:20,36.0751,32.8369,51.82,83,97,4.09
149,Kisangani,CD,2021-12-19 01:38:21,0.5167,25.2,69.76,98,94,2.91
150,Virginia Beach,US,2021-12-19 01:36:34,36.8529,-75.978,68.04,91,100,1.99
151,Gualeguaychu,AR,2021-12-19 01:38:21,-33.0094,-58.5172,80.04,51,0,15.3
152,Outjo,NA,2021-12-19 01:38:22,-20.1167,16.15,66.2,42,39,5.55
153,Baltiysk,RU,2021-12-19 01:38:22,54.6538,19.911,42.78,86,100,24.2
154,Iqaluit,CA,2021-12-19 01:38:23,63.7506,-68.5145,8.33,78,90,18.99
155,Marathon,US,2021-12-19 01:38:23,44.9,-89.7668,27.19,78,90,4.61
156,Rawson,AR,2021-12-19 01:30:53,-43.3002,-65.1023,61.29,91,28,14.07
157,San Jose Del Palmar,CO,2021-12-19 01:38:24,4.9742,-76.2283,69.46,99,100,0.58
158,Sao Filipe,CV,2021-12-19 01:38:25,14.8961,-24.4956,71.11,79,97,8.12
159,Necochea,AR,2021-12-19 01:38:25,-38.5473,-58.7368,74.68,41,100,18.88
160,Lagoa,PT,2021-12-19 01:32:08,39.05,-27.9833,60.06,84,94,32.91
161,Saldanha,ZA,2021-12-19 01:38:26,-33.0117,17.9442,60.85,94,17,9.66
162,Lawrenceburg,US,2021-12-19 01:38:26,38.0373,-84.8966,42.69,87,90,5.99
163,Inongo,CD,2021-12-19 01:38:27,-1.95,18.2667,71.56,89,93,1.32
164,Saint George,US,2021-12-19 01:38:06,37.1041,-113.5841,43.39,49,1,4.0
165,Rocha,UY,2021-12-19 01:32:16,-34.4833,-54.3333,58.57,94,0,7.18
166,Makat,KZ,2021-12-19 01:38:27,47.6469,53.3463,37.31,87,100,9.6
167,Half Moon Bay,US,2021-12-19 01:37:55,37.4636,-122.4286,51.49,82,1,0.0
168,George,ZA,2021-12-19 01:38:28,-33.963,22.4617,65.37,80,100,0.63
169,Toamasina,MG,2021-12-19 01:38:28,-18.1667,49.3833,75.2,100,75,2.3
170,Selma,US,2021-12-19 01:38:29,36.5708,-119.6121,48.22,86,5,2.84
171,Sheridan,US,2021-12-19 01:38:29,44.8333,-106.9173,34.3,65,75,4.61
172,Moerai,PF,2021-12-19 01:38:30,-22.4333,-151.3333,78.46,71,3,15.52
173,Cidreira,BR,2021-12-19 01:38:30,-30.1811,-50.2056,70.38,72,77,19.19
174,Sirjan,IR,2021-12-19 01:38:31,29.452,55.6814,47.37,60,100,5.53
