,City,Country,Lat,Long,Max Temp,Pct Humidity,Pct Cloudiness,Wind Speed,Description,Hotel Name
262,Las Vegas,US,36.175,-115.1372,59.43,49,90,8.05,overcast clouds,Plaza Hotel & Casino
263,Bull Savanna,JM,17.8868,-77.5902,79.27,68,5,12.19,clear sky,Big Red's
264,Methoni,GR,36.8197,21.7049,56.21,59,0,0.81,clear sky,Methoni Beach Hotel
265,Kawalu,ID,-7.3817,108.2082,71.87,93,73,1.48,broken clouds,KOSAN UNGU UNSIK
266,Whakatane,NZ,-37.9585,176.9854,74.77,43,25,4.09,scattered clouds,Pacific Coast Motel
267,Aiquile,BO,-18.2041,-65.1807,72.64,49,54,7.49,broken clouds,ECOFUTURO
268,Tripoli,LY,32.8752,13.1875,59.68,69,0,1.1,clear sky,Hotel Al-Safwa
269,Butembo,CD,0.15,29.2833,57.92,96,100,2.59,overcast clouds,UCG
270,Tapes,BR,-30.6733,-51.3958,70.03,86,100,4.16,overcast clouds,Conselho Tutelar
271,Harper,LR,4.375,-7.7169,79.56,83,54,8.7,broken clouds,EVA MARKETING
272,Road Town,VG,18.4167,-64.6167,78.89,65,75,12.66,broken clouds,Slaney Point
273,Santa Maria,CV,16.6,-22.9,74.95,74,63,15.17,broken clouds,Porta do Vento
274,Malanje,AO,-9.5402,16.341,63.12,97,9,1.83,light rain,"Njinga Center - Convention, Culture and Leisure"
275,Chimoio,MZ,-19.1164,33.4833,68.92,99,100,3.27,moderate rain,Faculty of Engineering
276,Bandipur,IN,11.6663,76.6286,62.74,96,92,4.07,overcast clouds,OYO 38131 Bandipur Khans Resort
277,Bhainsdehi,IN,21.6467,77.6325,55.76,75,8,2.33,clear sky,SBI ATM
278,Sinnar,SD,13.5691,33.5672,71.83,18,99,10.31,overcast clouds,Sennar University
279,Tuy Hoa,VN,13.0833,109.3,71.51,92,98,8.05,overcast clouds,CenDeluxe Hotel Tuy Hoa
