,City,Country,Lat,Long,Max Temp,Pct Humidity,Pct Cloudiness,Wind Speed,Description,Hotel Name
161,Hesperia,US,34.4264,-117.3009,55.76,72,34,13.0,scattered clouds,Sultana High School
162,Sao Filipe,CV,14.8961,-24.4956,77.32,60,85,8.52,overcast clouds,Hotel Xaguate
163,Gunjur,GM,13.2019,-16.7339,78.87,50,0,6.91,clear sky,Empire Radio1
164,Wanning,CN,18.8003,110.3967,68.36,87,94,9.82,overcast clouds,Wanning No.3 Middle School
165,Odweyne,SO,9.4092,45.064,65.57,65,3,5.7,clear sky,Xasaasi Media
166,Portales,US,34.1862,-103.3344,55.33,49,100,21.0,overcast clouds,"Holiday Inn Express & Suites Portales, an IHG Hotel"
167,Jibuti,DJ,11.5,42.5,74.62,81,96,12.71,overcast clouds,Orchid Main Camp Goubet
168,Locri,IT,38.2414,16.2623,58.82,84,0,11.12,clear sky,Grand Hotel President
169,Gweta,BW,-20.1833,25.2333,78.3,58,90,5.91,overcast clouds,Gweta Lodge
170,Knysna,ZA,-34.0363,23.0471,66.09,87,64,5.55,broken clouds,Protea Hotel by Marriott Knysna Quays
171,Colesberg,ZA,-30.72,25.0972,69.22,20,2,7.99,clear sky,Bhelekazi Guesthouse
172,Sumbe,AO,-11.2061,13.8437,76.71,90,40,5.19,scattered clouds,Hotel Ritz Sumbe
173,Kahului,US,20.8947,-156.47,78.82,82,40,3.44,light rain,Maui Seaside Hotel
174,Kupang,ID,-10.1667,123.5833,79.52,83,99,3.31,overcast clouds,Hotel On The Rock by Prasanthi
175,Benghazi,LY,32.1167,20.0667,62.04,71,17,23.49,few clouds,Aldasra Oil Services
176,Geraldton,AU,-28.7667,114.6,66.61,88,75,3.44,broken clouds,Broadwater Mariner Resort
177,San Cristobal,EC,-0.9045,-89.6174,77.11,78,75,13.8,broken clouds,Hotel los Algarrobos
178,Santa Rosalia,MX,27.3167,-112.2833,66.56,43,0,23.24,clear sky,Comisión Federal de Eléctricidad
179,Bushehr,IR,28.9684,50.8385,59.09,94,20,4.61,mist,Maskan Bank
180,Shahpur,IN,16.7,76.8333,68.47,70,54,5.64,broken clouds,SIDDHI VINAYAK HOSPITAL
181,Ipixuna,BR,-1.7625,-48.8043,75.15,96,99,3.2,moderate rain,Federal Highway Police
182,Naldurg,IN,17.8167,76.3,71.4,51,81,9.13,broken clouds,Pragati Agro Industry
183,Dawei,MM,14.0833,98.2,70.38,69,11,7.07,few clouds,Style 1 Guest House-Burmese Only
184,Fort Smith,US,35.3859,-94.3986,68.2,76,90,1.99,overcast clouds,Hampton Inn Fort Smith
185,Te Anau,NZ,-45.4167,167.7167,66.96,58,9,5.17,clear sky,Kingsgate Hotel Te Anau
186,Hambantota,LK,6.1241,81.1185,75.54,100,1,5.75,clear sky,Bungalow 63
187,Victoria,SC,-4.6167,55.45,78.06,89,40,2.3,light rain,Coral Strand Smart Choice Hotel
188,Sragen,ID,-7.4264,111.0222,74.75,85,99,4.47,overcast clouds,Global Flasher
189,Sawtell,AU,-30.3833,153.1,71.19,97,75,3.44,light rain,Subway
190,Altagracia De Orituco,VE,9.8601,-66.3814,75.87,54,39,7.36,scattered clouds,"FARMACIA GRACITANA, C.A. SAAS"
191,Puerto Del Rosario,ES,28.5004,-13.8627,65.88,34,0,4.61,clear sky,Hotel JM Puerto del Rosario
192,Great Malvern,GB,52.1116,-2.3252,56.43,92,94,5.01,overcast clouds,The Abbey Hotel
193,Pimentel,PE,-6.8367,-79.9342,77.29,61,20,21.85,few clouds,Casona Del Muelle
194,Guerrero Negro,MX,27.9769,-114.0611,64.54,56,0,24.81,clear sky,COMERBAJA
195,Orange,AU,-33.284,149.1002,69.39,76,62,5.55,broken clouds,Summer East Serviced Apartments
196,Halle,DE,51.5,12.0,56.93,77,75,3.0,broken clouds,Hotel Schweizer Hof
197,Bahia De Caraquez,EC,-0.6,-80.4167,78.98,76,99,10.87,overcast clouds,Saiananda Eco-Hotel
198,Pandan,PH,14.0453,124.1694,76.55,77,100,21.39,overcast clouds,Public Employment Service Office - Pandan
199,Muros,ES,42.7762,-9.0603,68.85,51,97,23.17,overcast clouds,Oficina Banco BBVA
200,Caravelas,BR,-17.7125,-39.2481,77.13,85,100,7.43,heavy intensity rain,Conselho Tutelar
201,Coquimbo,CL,-29.9533,-71.3436,65.93,72,40,13.8,scattered clouds,Punto de encuentro
202,Lembeni,TZ,-3.7833,37.6167,68.76,78,33,3.98,scattered clouds,Malage Vocational Training Centre
203,Guerrero,MX,17.6667,-100.0,79.57,38,1,2.51,clear sky,Villaxochilt
204,Bang Sao Thong,TH,13.595,100.8304,78.04,73,20,8.05,few clouds,PAEVA LUXURY RESIDENCE
